,Unnamed: 0,Map Name,Matchup,patch,Wins,Losses,Games,win_perc,loss_perc,pillar_label
239,418,Turbo Cruise '84 LE,TvZ,4.10.1,265,236,501,0.5289,0.4711,Pillar can see natural entrance
240,426,Winter's Gate LE,PvT,4.10.1,7330,6366,13696,0.5352,0.4648,Pillar can see natural entrance
241,427,Winter's Gate LE,PvZ,4.10.1,5983,6973,12956,0.4618,0.5382,Pillar can see natural entrance
242,428,Winter's Gate LE,TvZ,4.10.1,7962,7655,15617,0.5098,0.4902,Pillar can see natural entrance
243,429,World of Sleepers LE,PvT,4.10.1,17276,14435,31711,0.5448,0.4552,Pillar can see natural entrance
244,431,World of Sleepers LE,PvZ,4.10.1,15275,17547,32822,0.4654,0.5346,Pillar can see natural entrance
245,433,World of Sleepers LE,TvZ,4.10.1,19234,19159,38393,0.501,0.499,Pillar can see natural entrance
246,441,Zen LE,PvT,4.10.1,6295,5506,11801,0.5334,0.4666,Pillar can see natural entrance
247,443,Zen LE,PvZ,4.10.1,4837,6170,11007,0.4394,0.5606,Pillar can see natural entrance
248,445,Zen LE,TvZ,4.10.1,6676,6996,13672,0.4883,0.5117,Pillar can see natural entrance
249,165,Deathaura LE,PvT,4.11.4,10530,8590,19120,0.5507,0.4493,Pillar cannot see natural entrance
250,167,Deathaura LE,PvZ,4.11.4,9232,9637,18869,0.4893,0.5107,Pillar cannot see natural entrance
251,169,Deathaura LE,TvZ,4.11.4,10012,9492,19504,0.5133,0.4867,Pillar cannot see natural entrance
252,196,Ephemeron LE,PvT,4.11.4,2883,2356,5239,0.5503,0.4497,Pillar can see natural entrance
253,198,Ephemeron LE,PvZ,4.11.4,2354,2347,4701,0.5007,0.4993,Pillar can see natural entrance
254,200,Ephemeron LE,TvZ,4.11.4,2507,2323,4830,0.519,0.481,Pillar can see natural entrance
255,202,Eternal Empire LE,PvT,4.11.4,29262,25099,54361,0.5383,0.4617,Pillar can see natural entrance
256,205,Eternal Empire LE,PvZ,4.11.4,26215,27241,53456,0.4904,0.5096,Pillar can see natural entrance
257,208,Eternal Empire LE,TvZ,4.11.4,29887,26822,56709,0.527,0.473,Pillar can see natural entrance
258,210,Ever Dream LE,PvT,4.11.4,29732,24746,54478,0.5458,0.4542,Pillar can see natural entrance
